"baseline_version","run_id","layer","prompt_id","variant_id","prompt_text","engine","engine_surface","execution_timestamp","browser_language","observed_country","account_context","memory_context","location_context","location_context_source","observed_locality","search_enabled","ai_surface_present","retrieval_observed","vpi_mentioned","vpi_cited","vpi_recommended","entity_correct","service_correct","absorption_observed","vpi_urls","mention_position","citation_position","response_capture_ref","capture_quality","annotator","qa_status","qa_disagreement","notes"
"zero-v0","Z0-E01-C-COPILOT","B","E01","C","Explícame qué es Valentín Protección Integral.","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-C-COPILOT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E01-C-PERPLEXITY","B","E01","C","Explícame qué es Valentín Protección Integral.","Perplexity","Perplexity","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-C-PERPLEXITY/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E02-A-CHATGPT","A","E02","A","¿Quién está detrás de Valentín Protección Integral?","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E02-A-CHATGPT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E02-A-GOOGLE","A","E02","A","¿Quién está detrás de Valentín Protección Integral?","Google","Google generative search surface","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E02-A-GOOGLE/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E02-A-COPILOT","A","E02","A","¿Quién está detrás de Valentín Protección Integral?","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E02-A-COPILOT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E02-A-PERPLEXITY","A","E02","A","¿Quién está detrás de Valentín Protección Integral?","Perplexity","Perplexity","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E02-A-PERPLEXITY/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E03-A-CHATGPT","A","E03","A","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-A-CHATGPT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E03-A-GOOGLE","A","E03","A","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","Google","Google generative search surface","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-A-GOOGLE/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E03-A-COPILOT","A","E03","A","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-A-COPILOT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E03-A-PERPLEXITY","A","E03","A","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","Perplexity","Perplexity","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-A-PERPLEXITY/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E03-B-CHATGPT","B","E03","B","¿Qué tipo de negocio de seguros es Valentín Protección Integral?","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-B-CHATGPT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E03-B-GOOGLE","B","E03","B","¿Qué tipo de negocio de seguros es Valentín Protección Integral?","Google","Google generative search surface","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-B-GOOGLE/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E03-B-COPILOT","B","E03","B","¿Qué tipo de negocio de seguros es Valentín Protección Integral?","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-B-COPILOT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E03-B-PERPLEXITY","B","E03","B","¿Qué tipo de negocio de seguros es Valentín Protección Integral?","Perplexity","Perplexity","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-B-PERPLEXITY/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E03-C-CHATGPT","B","E03","C","¿Valentín Protección Integral actúa como aseguradora o agencia?","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-C-CHATGPT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E03-C-GOOGLE","B","E03","C","¿Valentín Protección Integral actúa como aseguradora o agencia?","Google","Google generative search surface","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-C-GOOGLE/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E03-C-COPILOT","B","E03","C","¿Valentín Protección Integral actúa como aseguradora o agencia?","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-C-COPILOT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E03-C-PERPLEXITY","B","E03","C","¿Valentín Protección Integral actúa como aseguradora o agencia?","Perplexity","Perplexity","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-C-PERPLEXITY/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E04-A-CHATGPT","A","E04","A","¿Quiénes son Rosa y Sebastián en Valentín Protección Integral?","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E04-A-CHATGPT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E04-A-GOOGLE","A","E04","A","¿Quiénes son Rosa y Sebastián en Valentín Protección Integral?","Google","Google generative search surface","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E04-A-GOOGLE/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E04-A-COPILOT","A","E04","A","¿Quiénes son Rosa y Sebastián en Valentín Protección Integral?","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E04-A-COPILOT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E04-A-PERPLEXITY","A","E04","A","¿Quiénes son Rosa y Sebastián en Valentín Protección Integral?","Perplexity","Perplexity","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E04-A-PERPLEXITY/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E05-A-CHATGPT","A","E05","A","What is Valentín Protección Integral?","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-A-CHATGPT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E05-A-GOOGLE","A","E05","A","What is Valentín Protección Integral?","Google","Google generative search surface","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-A-GOOGLE/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E05-A-COPILOT","A","E05","A","What is Valentín Protección Integral?","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-A-COPILOT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E05-A-PERPLEXITY","A","E05","A","What is Valentín Protección Integral?","Perplexity","Perplexity","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-A-PERPLEXITY/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E05-B-CHATGPT","B","E05","B","What does Valentín Protección Integral do?","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-B-CHATGPT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E05-B-GOOGLE","B","E05","B","What does Valentín Protección Integral do?","Google","Google generative search surface","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-B-GOOGLE/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E05-B-COPILOT","B","E05","B","What does Valentín Protección Integral do?","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-B-COPILOT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E05-B-PERPLEXITY","B","E05","B","What does Valentín Protección Integral do?","Perplexity","Perplexity","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-B-PERPLEXITY/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E05-C-CHATGPT","B","E05","C","Can you explain what Valentín Protección Integral is?","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-C-CHATGPT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E05-C-GOOGLE","B","E05","C","Can you explain what Valentín Protección Integral is?","Google","Google generative search surface","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-C-GOOGLE/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E05-C-COPILOT","B","E05","C","Can you explain what Valentín Protección Integral is?","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-C-COPILOT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E05-C-PERPLEXITY","B","E05","C","Can you explain what Valentín Protección Integral is?","Perplexity","Perplexity","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-C-PERPLEXITY/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E06-A-CHATGPT","A","E06","A","Who runs Valentín Protección Integral and what type of insurance business is it?","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E06-A-CHATGPT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E06-A-GOOGLE","A","E06","A","Who runs Valentín Protección Integral and what type of insurance business is it?","Google","Google generative search surface","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E06-A-GOOGLE/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E06-A-COPILOT","A","E06","A","Who runs Valentín Protección Integral and what type of insurance business is it?","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E06-A-COPILOT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E06-A-PERPLEXITY","A","E06","A","Who runs Valentín Protección Integral and what type of insurance business is it?","Perplexity","Perplexity","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E06-A-PERPLEXITY/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F01-A-CHATGPT","A","F01","A","Seguro médico para visado de estudios en España","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-A-CHATGPT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F01-A-GOOGLE","A","F01","A","Seguro médico para visado de estudios en España","Google","Google generative search surface","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-A-GOOGLE/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F01-A-COPILOT","A","F01","A","Seguro médico para visado de estudios en España","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-A-COPILOT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F01-A-PERPLEXITY","A","F01","A","Seguro médico para visado de estudios en España","Perplexity","Perplexity","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-A-PERPLEXITY/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F01-B-CHATGPT","B","F01","B","¿Qué seguro médico necesito para un visado de estudios en España?","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-B-CHATGPT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F01-B-GOOGLE","B","F01","B","¿Qué seguro médico necesito para un visado de estudios en España?","Google","Google generative search surface","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-B-GOOGLE/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F01-B-COPILOT","B","F01","B","¿Qué seguro médico necesito para un visado de estudios en España?","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-B-COPILOT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F01-B-PERPLEXITY","B","F01","B","¿Qué seguro médico necesito para un visado de estudios en España?","Perplexity","Perplexity","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-B-PERPLEXITY/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F01-C-CHATGPT","B","F01","C","Seguro privado para visado de estudiante en España","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-C-CHATGPT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F01-C-GOOGLE","B","F01","C","Seguro privado para visado de estudiante en España","Google","Google generative search surface","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-C-GOOGLE/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F01-C-COPILOT","B","F01","C","Seguro privado para visado de estudiante en España","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-C-COPILOT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F01-C-PERPLEXITY","B","F01","C","Seguro privado para visado de estudiante en España","Perplexity","Perplexity","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-C-PERPLEXITY/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F02-A-CHATGPT","A","F02","A","¿Qué seguro médico necesita un estudiante extranjero para estudiar en España?","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F02-A-CHATGPT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F02-A-GOOGLE","A","F02","A","¿Qué seguro médico necesita un estudiante extranjero para estudiar en España?","Google","Google generative search surface","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F02-A-GOOGLE/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F02-A-COPILOT","A","F02","A","¿Qué seguro médico necesita un estudiante extranjero para estudiar en España?","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F02-A-COPILOT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F02-A-PERPLEXITY","A","F02","A","¿Qué seguro médico necesita un estudiante extranjero para estudiar en España?","Perplexity","Perplexity","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F02-A-PERPLEXITY/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F03-A-CHATGPT","A","F03","A","¿Puedo contratar un seguro médico para visado de estudiante sin NIE?","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F03-A-CHATGPT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F03-A-GOOGLE","A","F03","A","¿Puedo contratar un seguro médico para visado de estudiante sin NIE?","Google","Google generative search surface","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F03-A-GOOGLE/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F03-A-COPILOT","A","F03","A","¿Puedo contratar un seguro médico para visado de estudiante sin NIE?","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F03-A-COPILOT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F03-A-PERPLEXITY","A","F03","A","¿Puedo contratar un seguro médico para visado de estudiante sin NIE?","Perplexity","Perplexity","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F03-A-PERPLEXITY/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F04-A-CHATGPT","A","F04","A","Soy peruano y voy a estudiar un máster en Madrid, todavía no tengo NIE. ¿Qué seguro médico necesito para el visado?","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F04-A-CHATGPT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F04-A-GOOGLE","A","F04","A","Soy peruano y voy a estudiar un máster en Madrid, todavía no tengo NIE. ¿Qué seguro médico necesito para el visado?","Google","Google generative search surface","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F04-A-GOOGLE/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F04-A-COPILOT","A","F04","A","Soy peruano y voy a estudiar un máster en Madrid, todavía no tengo NIE. ¿Qué seguro médico necesito para el visado?","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F04-A-COPILOT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-F04-A-PERPLEXITY","A","F04","A","Soy peruano y voy a estudiar un máster en Madrid, todavía no tengo NIE. ¿Qué seguro médico necesito para el visado?","Perplexity","Perplexity","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F04-A-PERPLEXITY/response.txt","pending","pending","pending","pending","pending"
